# A data file made by Paul
3 3
points[20][20] = 
0.078217 -0.493844 0.469674

0.000000 0.500000 -0.500000
0.000000 0.493844 -0.493844
0.000000 0.475528 -0.475528
0.000000 0.445503 -0.445503
0.000000 0.404508 -0.404508
0.000000 0.353553 -0.353553
0.000000 0.293893 -0.293893
0.000000 0.226995 -0.226995
0.000000 0.154508 -0.154508
0.000000 0.078217 -0.078217
0.000000 0.000000 0.000000
0.000000 -0.078217 0.078217
0.000000 -0.154509 0.154509
0.000000 -0.226995 0.226995
0.000000 -0.293893 0.293893
0.000000 -0.353553 0.353553
0.000000 -0.404509 0.404509
0.000000 -0.445503 0.445503
0.000000 -0.475528 0.475528
0.000000 -0.493844 0.493844

-0.078217 0.500000 -0.475528
-0.078217 0.493844 -0.469674
-0.078217 0.475528 -0.452254
-0.078217 0.445503 -0.423699
-0.078217 0.404508 -0.384710
-0.078217 0.353553 -0.336249
-0.078217 0.293893 -0.279508
-0.078217 0.226995 -0.215885
-0.078217 0.154508 -0.146946
-0.078217 0.078217 -0.074389
-0.078217 0.000000 0.000000
-0.078217 -0.078217 0.074389
-0.078217 -0.154509 0.146946
-0.078217 -0.226995 0.215885
-0.078217 -0.293893 0.279509
-0.078217 -0.353553 0.336249
-0.078217 -0.404509 0.384710
-0.078217 -0.445503 0.423699
-0.078217 -0.475528 0.452254
-0.078217 -0.493844 0.469674

-0.154509 0.500000 -0.404508
-0.154509 0.493844 -0.399528
-0.154509 0.475528 -0.384710
-0.154509 0.445503 -0.360420
-0.154509 0.404508 -0.327254
-0.154509 0.353553 -0.286031
-0.154509 0.293893 -0.237764
-0.154509 0.226995 -0.183643
-0.154509 0.154508 -0.125000
-0.154509 0.078217 -0.063279
-0.154509 0.000000 0.000000
-0.154509 -0.078217 0.063279
-0.154509 -0.154509 0.125000
-0.154509 -0.226995 0.183643
-0.154509 -0.293893 0.237764
-0.154509 -0.353553 0.286031
-0.154509 -0.404509 0.327254
-0.154509 -0.445503 0.360420
-0.154509 -0.475528 0.384710
-0.154509 -0.493844 0.399528

-0.226995 0.500000 -0.293893
-0.226995 0.493844 -0.290274
-0.226995 0.475528 -0.279508
-0.226995 0.445503 -0.261860
-0.226995 0.404508 -0.237764
-0.226995 0.353553 -0.207813
-0.226995 0.293893 -0.172746
-0.226995 0.226995 -0.133424
-0.226995 0.154508 -0.090818
-0.226995 0.078217 -0.045975
-0.226995 0.000000 0.000000
-0.226995 -0.078217 0.045975
-0.226995 -0.154509 0.090818
-0.226995 -0.226995 0.133424
-0.226995 -0.293893 0.172746
-0.226995 -0.353553 0.207813
-0.226995 -0.404509 0.237764
-0.226995 -0.445503 0.261860
-0.226995 -0.475528 0.279508
-0.226995 -0.493844 0.290274

-0.293893 0.500000 -0.154508
-0.293893 0.493844 -0.152606
-0.293893 0.475528 -0.146946
-0.293893 0.445503 -0.137668
-0.293893 0.404508 -0.125000
-0.293893 0.353553 -0.109254
-0.293893 0.293893 -0.090818
-0.293893 0.226995 -0.070145
-0.293893 0.154508 -0.047746
-0.293893 0.078217 -0.024170
-0.293893 0.000000 0.000000
-0.293893 -0.078217 0.024170
-0.293893 -0.154509 0.047746
-0.293893 -0.226995 0.070145
-0.293893 -0.293893 0.090818
-0.293893 -0.353553 0.109254
-0.293893 -0.404509 0.125000
-0.293893 -0.445503 0.137668
-0.293893 -0.475528 0.146946
-0.293893 -0.493844 0.152606

-0.353553 0.500000 0.000000
-0.353553 0.493844 0.000000
-0.353553 0.475528 0.000000
-0.353553 0.445503 0.000000
-0.353553 0.404508 0.000000
-0.353553 0.353553 0.000000
-0.353553 0.293893 0.000000
-0.353553 0.226995 0.000000
-0.353553 0.154508 0.000000
-0.353553 0.078217 0.000000
-0.353553 0.000000 0.000000
-0.353553 -0.078217 0.000000
-0.353553 -0.154509 0.000000
-0.353553 -0.226995 0.000000
-0.353553 -0.293893 0.000000
-0.353553 -0.353553 0.000000
-0.353553 -0.404509 0.000000
-0.353553 -0.445503 0.000000
-0.353553 -0.475528 0.000000
-0.353553 -0.493844 0.000000

-0.404509 0.500000 0.154509
-0.404509 0.493844 0.152606
-0.404509 0.475528 0.146946
-0.404509 0.445503 0.137668
-0.404509 0.404508 0.125000
-0.404509 0.353553 0.109254
-0.404509 0.293893 0.090818
-0.404509 0.226995 0.070145
-0.404509 0.154508 0.047746
-0.404509 0.078217 0.024170
-0.404509 0.000000 0.000000
-0.404509 -0.078217 -0.024170
-0.404509 -0.154509 -0.047746
-0.404509 -0.226995 -0.070145
-0.404509 -0.293893 -0.090818
-0.404509 -0.353553 -0.109254
-0.404509 -0.404509 -0.125000
-0.404509 -0.445503 -0.137668
-0.404509 -0.475528 -0.146946
-0.404509 -0.493844 -0.152606

-0.445503 0.500000 0.293893
-0.445503 0.493844 0.290274
-0.445503 0.475528 0.279509
-0.445503 0.445503 0.261860
-0.445503 0.404508 0.237764
-0.445503 0.353553 0.207813
-0.445503 0.293893 0.172746
-0.445503 0.226995 0.133424
-0.445503 0.154508 0.090818
-0.445503 0.078217 0.045975
-0.445503 0.000000 0.000000
-0.445503 -0.078217 -0.045975
-0.445503 -0.154509 -0.090818
-0.445503 -0.226995 -0.133424
-0.445503 -0.293893 -0.172746
-0.445503 -0.353553 -0.207813
-0.445503 -0.404509 -0.237764
-0.445503 -0.445503 -0.261860
-0.445503 -0.475528 -0.279509
-0.445503 -0.493844 -0.290274

-0.475528 0.500000 0.404509
-0.475528 0.493844 0.399528
-0.475528 0.475528 0.384710
-0.475528 0.445503 0.360420
-0.475528 0.404508 0.327254
-0.475528 0.353553 0.286031
-0.475528 0.293893 0.237764
-0.475528 0.226995 0.183643
-0.475528 0.154508 0.125000
-0.475528 0.078217 0.063279
-0.475528 0.000000 0.000000
-0.475528 -0.078217 -0.063279
-0.475528 -0.154509 -0.125000
-0.475528 -0.226995 -0.183643
-0.475528 -0.293893 -0.237764
-0.475528 -0.353553 -0.286031
-0.475528 -0.404509 -0.327254
-0.475528 -0.445503 -0.360420
-0.475528 -0.475528 -0.384710
-0.475528 -0.493844 -0.399528

-0.493844 0.500000 0.475528
-0.493844 0.493844 0.469674
-0.493844 0.475528 0.452254
-0.493844 0.445503 0.423699
-0.493844 0.404508 0.384710
